Database,ExchangeGuid,ExchangeUserAccountControl,LinkedMasterAccount,SamAccountName,ServerLegacyDN,ServerName,Office,UserPrincipalName,Alias,OrganizationalUnit,PrimarySmtpAddress,Name,DistinguishedName,Guid
Dag2DB21,435940bc-46b0-4756-b004-a36ede72f8a2,AccountDisabled,EMEA\Caleb.Wheeler,Caleb.Wheeler,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Caleb.Wheeler@a360labs.com,CalebWheeler,a360labs.net/a360labsUsers/cloud,CalebWheeler@a360labs.com,Caleb Wheeler,"CN=Caleb Wheeler,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",e4a85f3c-f33f-4f27-855b-ace36091b945
Dag2DB41,ec494746-c004-4646-9beb-2eccd0b9c700,AccountDisabled,EMEA\Lottie.Osborne,Lottie.Osborne,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-NY ,Lottie.Osborne@a360labs.com,LottieOsborne,a360labs.net/a360labsUsers/cloud,LottieOsborne@a360labs.com,Lottie Osborne,"CN=Lottie Osborne,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",6ca025bd-3121-4acf-9027-413221d816ca
Dag2DB26,982c387e-c1bf-45ea-a9ac-23830492fcf5,AccountDisabled,NAEAST\Evan.Hughes,Evan.Hughes,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Evan.Hughes@a360labs.com,EvanHughes,a360labs.net/a360labsUsers/cloud,EvanHughes@a360labs.com,Evan Hughes,"CN=Evan Hughes,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",363fca0d-35db-43dd-8335-990742271f81
Dag2DB42,4a20d1f1-f102-4b25-a33f-ca304d997eb4,AccountDisabled,NAEAST\Randy.Fox,Randy.Fox,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IE-D  ,Randy.Fox@a360labs.com,RandyFox,a360labs.net/a360labsUsers/cloud,RandyFox@a360labs.com,Randy Fox,"CN=Randy Fox,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",9a221e70-e747-4781-b75d-795d275d2e36
Dag2DB25,62bf7b55-deb9-4d39-a8b9-206f7b1ad621,AccountDisabled,NAEAST\Arthur.Gibson,Arthur.Gibson,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IN-DL ,Arthur.Gibson@a360labs.com,ArthurGibson,a360labs.net/a360labsUsers/cloud,ArthurGibson@a360labs.com,Arthur Gibson,"CN=Arthur Gibson,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",309ecbff-ef66-4c08-bc18-ff59a1da6129
Dag2DB32,7b971c67-b2dc-4e35-a6bf-2e555712b136,AccountDisabled,EMEA\Lucille.Carson,Lucille.Carson,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CO ,Lucille.Carson@a360labs.com,LucilleCarson,a360labs.net/a360labsUsers/cloud,LucilleCarson@a360labs.com,Lucille Carson,"CN=Lucille Carson,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",5d004822-f2f1-43cb-8cbf-0aefcabe3f97
Dag2DB40,6f4fc36b-4574-493b-925b-d3915a16bb2f,AccountDisabled,EMEA\Dustin.Cain,Dustin.Cain,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Dustin.Cain@a360labs.com,DustinCain,a360labs.net/a360labsUsers/cloud,DustinCain@a360labs.com,Dustin Cain,"CN=Dustin Cain,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",920b1399-9b2c-49ae-8f5b-8dbdb853363c
Dag2DB9,56295afb-f93d-431d-962e-f728d078b4f4,AccountDisabled,NAEAST\Gilbert.Christensen,Gilbert.Christensen,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,HU-BU ,Gilbert.Christensen@a360labs.com,GilbertChristensen,a360labs.net/a360labsUsers/cloud,GilbertChristensen@a360labs.com,Gilbert Christensen,"CN=Gilbert Christensen,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",b53afc54-bdd3-431b-ba33-3e14b7341d0a
Dag2DB26,fef8d654-79aa-459d-8458-2918fa47d8ae,AccountDisabled,NAEAST\Adelaide.Garcia,Adelaide.Garcia,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-NY ,Adelaide.Garcia@a360labs.com,AdelaideGarcia,a360labs.net/a360labsUsers/cloud,AdelaideGarcia@a360labs.com,Adelaide Garcia,"CN=Adelaide Garcia,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",10c6a970-8ab9-4a2d-a669-baa96ab63578
Dag2DB28,b2208fb7-608c-48e4-882b-59259fa2a86d,AccountDisabled,EMEA\Lela.Greer,Lela.Greer,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IN-DL ,Lela.Greer@a360labs.com,LelaGreer,a360labs.net/a360labsUsers/cloud,LelaGreer@a360labs.com,Lela Greer,"CN=Lela Greer,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",3c529bfa-d74c-4daf-8df5-201d84adac3b
Dag2DB25,7105c355-6885-46d5-a0ba-04070062f253,AccountDisabled,NAEAST\Juan.Simpson,Juan.Simpson,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-NY ,Juan.Simpson@a360labs.com,JuanSimpson,a360labs.net/a360labsUsers/cloud,JuanSimpson@a360labs.com,Juan Simpson,"CN=Juan Simpson,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",3255c6fe-f7b6-4c4a-b7e2-06368f2399cf
Dag2DB42,3548db72-07e6-44cd-8915-1f66369b417c,AccountDisabled,EMEA\Millie.Roberts,Millie.Roberts,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CA ,Millie.Roberts@a360labs.com,MillieRoberts,a360labs.net/a360labsUsers/cloud,MillieRoberts@a360labs.com,Millie Roberts,"CN=Millie Roberts,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",6c189a79-08d0-4379-a505-7bab70418d8e
Dag2DB46,606737d7-4c1a-4380-8b3c-c74eeb9860ee,AccountDisabled,NAEAST\Mathilda.Goodwin,Mathilda.Goodwin,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Mathilda.Goodwin@a360labs.com,MathildaGoodwin,a360labs.net/a360labsUsers/cloud,MathildaGoodwin@a360labs.com,Mathilda Goodwin,"CN=Mathilda Goodwin,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",549560f5-9844-4dc5-af3e-8eea80d125f1
Dag2DB41,5678fc26-902f-4a20-88f1-e88abe0fab99,AccountDisabled,NAEAST\George.Rose,George.Rose,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IE-D  ,George.Rose@a360labs.com,GeorgeRose,a360labs.net/a360labsUsers/cloud,GeorgeRose@a360labs.com,George Rose,"CN=George Rose,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",b9ad7128-75fd-4fe0-9ee2-78b2fe59e758
Dag2DB1,b24a1bb0-a672-405d-932f-8776d19f4b7b,AccountDisabled,NAEAST\Lester.Allen,Lester.Allen,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IN-DL ,Lester.Allen@a360labs.com,LesterAllen,a360labs.net/a360labsUsers/cloud,LesterAllen@a360labs.com,Lester Allen,"CN=Lester Allen,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",62ac7bb0-1565-42f8-bf53-b5e5d1e27fa8
Dag2DB6,84ffb466-feec-41dd-95c3-7c717d37441d,AccountDisabled,EMEA\Iva.Cooper,Iva.Cooper,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-WY ,Iva.Cooper@a360labs.com,IvaCooper,a360labs.net/a360labsUsers/cloud,IvaCooper@a360labs.com,Iva Cooper,"CN=Iva Cooper,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",0aeb4b9e-c856-4df5-bf75-4dba51f76e9b
Dag2DB44,cea248ae-a704-40ed-8949-28c3788a0213,AccountDisabled,EMEA\Trevor.Reed,Trevor.Reed,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-NY ,Trevor.Reed@a360labs.com,TrevorReed,a360labs.net/a360labsUsers/cloud,TrevorReed@a360labs.com,Trevor Reed,"CN=Trevor Reed,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",3979d3ad-b065-4e3a-8cf3-b8303464f614
Dag2DB21,f21638ff-678c-4887-b7a1-884a3e1e4dbb,AccountDisabled,EMEA\Jon.Fowler,Jon.Fowler,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IE-D  ,Jon.Fowler@a360labs.com,JonFowler,a360labs.net/a360labsUsers/cloud,JonFowler@a360labs.com,Jon Fowler,"CN=Jon Fowler,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",f94865d4-a9b5-4608-a765-e00ba08072d7
Dag2DB29,f7393a9a-70a9-46cb-a192-4409b9d22d3b,AccountDisabled,NAEAST\Joseph.Neal,Joseph.Neal,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-WY ,Joseph.Neal@a360labs.com,JosephNeal,a360labs.net/a360labsUsers/cloud,JosephNeal@a360labs.com,Joseph Neal,"CN=Joseph Neal,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",8bff4194-9d34-49db-86d4-2aaae8227513
Dag2DB20,25409524-974b-48d8-8a7c-99705f2d74f7,AccountDisabled,EMEA\Bernard.Ross,Bernard.Ross,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IE-D  ,Bernard.Ross@a360labs.com,BernardRoss,a360labs.net/a360labsUsers/cloud,BernardRoss@a360labs.com,Bernard Ross,"CN=Bernard Ross,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",041caaca-45e7-47c0-9ed2-c003adf11465
Dag2DB11,c9ebb8dc-7a92-4f5b-a318-ad31bb6baaa5,AccountDisabled,NAEAST\Antonio.Bradley,Antonio.Bradley,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,SG-01 ,Antonio.Bradley@a360labs.com,AntonioBradley,a360labs.net/a360labsUsers/cloud,AntonioBradley@a360labs.com,Antonio Bradley,"CN=Antonio Bradley,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",27d0a88c-98ad-4816-a178-95532028a770
Dag2DB9,7e1bb435-4c50-4e72-84c5-0e580e60ed9d,AccountDisabled,NAEAST\Calvin.Simpson,Calvin.Simpson,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Calvin.Simpson@a360labs.com,CalvinSimpson,a360labs.net/a360labsUsers/cloud,CalvinSimpson@a360labs.com,Calvin Simpson,"CN=Calvin Simpson,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",a1f29ba2-373a-4a58-b8eb-3eb924cb0cc6
Dag2DB80,1a16f753-7d7d-4d27-9440-a9da37561823,AccountDisabled,NAEAST\Gussie.Hernandez,Gussie.Hernandez,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX2,a360labsmbx2,HU-BU ,Gussie.Hernandez@a360labs.com,GussieHernandez,a360labs.net/a360labsUsers/cloud,GussieHernandez@a360labs.com,Gussie Hernandez,"CN=Gussie Hernandez,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",24404a3f-f33a-4746-a4f7-faef4ec04a13
Dag2DB12,423f5fd1-be25-49af-951f-19ec586e434a,AccountDisabled,EMEA\Angel.Wagner,Angel.Wagner,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-NY ,Angel.Wagner@a360labs.com,AngelWagner,a360labs.net/a360labsUsers/cloud,AngelWagner@a360labs.com,Angel Wagner,"CN=Angel Wagner,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",83c9fc99-88c6-49c9-8ebf-2a953be94529
Dag2DB29,22fce2a6-af3b-4720-843f-8b2811ea9a04,AccountDisabled,NAEAST\Alan.Jordan,Alan.Jordan,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,GB-LND,Alan.Jordan@a360labs.com,AlanJordan,a360labs.net/a360labsUsers/cloud,AlanJordan@a360labs.com,Alan Jordan,"CN=Alan Jordan,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",1b75993f-78f8-4040-b8c0-e4305ab0fe18
Dag2DB42,a583a5d2-b508-4ae8-80e0-76dcff47105c,AccountDisabled,NAEAST\Ronnie.Benson,Ronnie.Benson,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,HU-BU ,Ronnie.Benson@a360labs.com,RonnieBenson,a360labs.net/a360labsUsers/cloud,RonnieBenson@a360labs.com,Ronnie Benson,"CN=Ronnie Benson,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",d2a58d58-6928-4551-82b0-c84a804624c1
Dag2DB15,c48d47bb-8171-4a17-bd20-0624cd1ee76d,AccountDisabled,NAEAST\Darrell.Curry,Darrell.Curry,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IN-DL ,Darrell.Curry@a360labs.com,DarrellCurry,a360labs.net/a360labsUsers/cloud,DarrellCurry@a360labs.com,Darrell Curry,"CN=Darrell Curry,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",c14092c0-c534-4ea0-894e-57dec246b422
Dag2DB42,d52bd3fb-87ea-44b6-bdb6-f07fd3f5f664,AccountDisabled,NAEAST\Marcus.Sparks,Marcus.Sparks,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Marcus.Sparks@a360labs.com,MarcusSparks,a360labs.net/a360labsUsers/cloud,MarcusSparks@a360labs.com,Marcus Sparks,"CN=Marcus Sparks,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",30c38234-5257-44bc-9c5a-1c14766503f5
Dag2DB87,510c330a-322f-4fca-bdea-9d53a102f0d9,AccountDisabled,EMEA\Allie.Barber,Allie.Barber,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX2,a360labsmbx2,GB-LND,Allie.Barber@a360labs.com,AllieBarber,a360labs.net/a360labsUsers/cloud,AllieBarber@a360labs.com,Allie Barber,"CN=Allie Barber,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",fbe25650-5137-4290-8613-0026195c6d2e
Dag2DB11,cd0c1e94-fe46-4cd5-83ea-2cfa0b0d0a46,AccountDisabled,NAEAST\Jay.Ryan,Jay.Ryan,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IE-D  ,Jay.Ryan@a360labs.com,JayRyan,a360labs.net/a360labsUsers/cloud,JayRyan@a360labs.com,Jay Ryan,"CN=Jay Ryan,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",a951edee-cefe-4f8e-9cf3-33d5765940a9
Dag2DB41,14c9543f-c498-4fea-9404-5822c1355e5e,AccountDisabled,EMEA\Warren.Campbell,Warren.Campbell,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Warren.Campbell@a360labs.com,WarrenCampbell,a360labs.net/a360labsUsers/cloud,WarrenCampbell@a360labs.com,Warren Campbell,"CN=Warren Campbell,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",bc8e16dd-463c-4001-8b75-229a5de9a480
Dag2DB31,599753f2-a7ac-40a4-94d3-2f3817cb3b21,AccountDisabled,EMEA\Nora.Austin,Nora.Austin,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-WY ,Nora.Austin@a360labs.com,NoraAustin,a360labs.net/a360labsUsers/cloud,NoraAustin@a360labs.com,Nora Austin,"CN=Nora Austin,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",9ba56b0d-52e9-4e60-8067-345996f64a69
Dag2DB39,1128be60-eec7-4cd6-8dcb-9524e7eccc11,AccountDisabled,NAEAST\Lewis.Lewis,Lewis.Lewis,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Lewis.Lewis@a360labs.com,LewisLewis,a360labs.net/a360labsUsers/cloud,LewisLewis@a360labs.com,Lewis Lewis,"CN=Lewis Lewis,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",cf38636a-cae1-4730-bab5-9d45a87a2eb7
Dag2DB5,9095aa3a-ad40-416d-afaf-6bfa53b8f77b,AccountDisabled,NAEAST\Lucas.Mills,Lucas.Mills,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CO ,Lucas.Mills@a360labs.com,LucasMills,a360labs.net/a360labsUsers/cloud,LucasMills@a360labs.com,Lucas Mills,"CN=Lucas Mills,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",ccc85949-5002-4210-b729-938e5fb6e46c
Dag2DB41,16fe0fd7-7fa5-4020-987e-1eb13f9837fe,AccountDisabled,EMEA\Harvey.Hamilton,Harvey.Hamilton,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,GB-LND,Harvey.Hamilton@a360labs.com,HarveyHamilton,a360labs.net/a360labsUsers/cloud,HarveyHamilton@a360labs.com,Harvey Hamilton,"CN=Harvey Hamilton,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",9cd43377-e3b9-47da-9427-7ae60ab29b42
Dag2DB62,415b58ed-48b5-416c-adcb-8d913c4d5fa5,AccountDisabled,EMEA\Marc.Floyd,Marc.Floyd,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX2,a360labsmbx2,IN-DL ,Marc.Floyd@a360labs.com,MarcFloyd,a360labs.net/a360labsUsers/cloud,MarcFloyd@a360labs.com,Marc Floyd,"CN=Marc Floyd,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",88d8fc1a-47c3-40da-9808-cd502ad7344f
Dag2DB15,c20bf2e3-e705-40f1-ae6c-61050b43c1e2,AccountDisabled,EMEA\Clarence.Banks,Clarence.Banks,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CA ,Clarence.Banks@a360labs.com,ClarenceBanks,a360labs.net/a360labsUsers/cloud,ClarenceBanks@a360labs.com,Clarence Banks,"CN=Clarence Banks,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",3106759d-307c-43b7-8e54-1f3a489d0634
Dag2DB99,db5f4ea0-b822-46a2-ab5f-1f8e336495e4,AccountDisabled,EMEA\Katharine.Garza,Katharine.Garza,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX2,a360labsmbx2,SG-01 ,Katharine.Garza@a360labs.com,KatharineGarza,a360labs.net/a360labsUsers/cloud,KatharineGarza@a360labs.com,Katharine Garza,"CN=Katharine Garza,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",3e481579-c6aa-4513-9101-c41d04773e2d
Dag2DB14,a24e561b-4feb-4234-9c05-81546ea0b0f1,AccountDisabled,EMEA\Julian.Chapman,Julian.Chapman,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,SG-01 ,Julian.Chapman@a360labs.com,JulianChapman,a360labs.net/a360labsUsers/cloud,JulianChapman@a360labs.com,Julian Chapman,"CN=Julian Chapman,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",d568e849-bab7-445a-ae84-addedf958946
Dag2DB14,4a0fd445-383e-45f8-b7fe-a6d37d0431f8,AccountDisabled,NAEAST\Lottie.Gonzales,Lottie.Gonzales,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,SG-01 ,Lottie.Gonzales@a360labs.com,LottieGonzales,a360labs.net/a360labsUsers/cloud,LottieGonzales@a360labs.com,Lottie Gonzales,"CN=Lottie Gonzales,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",866218b3-fe7f-45c0-8681-a6b9e88b2e47
Dag2DB31,90643ed6-3b4d-41eb-a4de-b9ed30ffd12e,AccountDisabled,EMEA\Verna.Fisher,Verna.Fisher,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-NY ,Verna.Fisher@a360labs.com,VernaFisher,a360labs.net/a360labsUsers/cloud,VernaFisher@a360labs.com,Verna Fisher,"CN=Verna Fisher,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",7d8ecc59-dbb8-4135-8823-77bda1daa97f
Dag2DB8,d4ba33af-c07d-479f-9018-f7d68b779c2c,AccountDisabled,EMEA\Eric.Lynch,Eric.Lynch,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CA ,Eric.Lynch@a360labs.com,EricLynch,a360labs.net/a360labsUsers/cloud,EricLynch@a360labs.com,Eric Lynch,"CN=Eric Lynch,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",1dd30f26-5fda-40dd-b906-d34a187c0a18
Dag2DB16,b4b5a50a-3319-4170-aa99-cdc645168bd5,AccountDisabled,EMEA\Hilda.McGee,Hilda.McGee,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-WA ,Hilda.McGee@a360labs.com,HildaMcGee,a360labs.net/a360labsUsers/cloud,HildaMcGee@a360labs.com,Hilda McGee,"CN=Hilda McGee,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",240c0015-d621-4709-86ad-aa2de1d629d4
Dag2DB17,c8cadc99-f047-46e9-b6fd-6cce713f8b25,AccountDisabled,NAEAST\Alma.Martinez,Alma.Martinez,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CO ,Alma.Martinez@a360labs.com,AlmaMartinez,a360labs.net/a360labsUsers/cloud,AlmaMartinez@a360labs.com,Alma Martinez,"CN=Alma Martinez,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",836b3980-abea-431f-b61f-e1074d4abe08
Dag2DB48,46326fc4-5f3a-4e22-8318-19c94c841d95,AccountDisabled,EMEA\Max.Jones,Max.Jones,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IE-D  ,Max.Jones@a360labs.com,MaxJones,a360labs.net/a360labsUsers/cloud,MaxJones@a360labs.com,Max Jones,"CN=Max Jones,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",18a0df28-f9e9-44d9-923e-b6ab5b33cd99
Dag2DB47,7bdffdf0-c12e-48ee-8a4a-150abe9933a8,AccountDisabled,NAEAST\Fanny.Hawkins,Fanny.Hawkins,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Fanny.Hawkins@a360labs.com,FannyHawkins,a360labs.net/a360labsUsers/cloud,FannyHawkins@a360labs.com,Fanny Hawkins,"CN=Fanny Hawkins,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",405868eb-48e4-44b5-8586-8431d6ec0359
Dag2DB34,ecef55ac-a73b-4293-b844-ec24d714b6c0,AccountDisabled,EMEA\Pauline.Riley,Pauline.Riley,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Pauline.Riley@a360labs.com,PaulineRiley,a360labs.net/a360labsUsers/cloud,PaulineRiley@a360labs.com,Pauline Riley,"CN=Pauline Riley,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",0de30607-2cdd-446f-85bc-c8749ffb0af5
Dag2DB37,a6a3b9c5-5786-45e9-9e98-3fcee341c5ac,AccountDisabled,EMEA\Katherine.Ball,Katherine.Ball,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IN-DL ,Katherine.Ball@a360labs.com,KatherineBall,a360labs.net/a360labsUsers/cloud,KatherineBall@a360labs.com,Katherine Ball,"CN=Katherine Ball,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",fe4bad9a-a6c6-4eaf-ac3d-f595d6e01b8c
